0.89, 1.37, 1.92, 20, 0.39612431835897344, BAT SlipP = 0.05, Floor = 1/4
7.55, 8.75, 9.33, 20, 0.066007019765313, BAT SlipP = 0.05, Floor = 1/4
0.54, 0.82, 0.81, 20, 0.017066210492784138, BAT SlipP = 0.05, Floor = 1/4
0.59, 0.85, 0.97, 20, 0.13251578045229892, BAT SlipP = 0.05, Floor = 1/4
0.59, 0.74, 0.69, 20, 0.06643971563976606, BAT SlipP = 0.05, Floor = 1/4
1.47, 2.31, 2.31, 20, 0.0003442598188350201, BAT SlipP = 0.05, Floor = 1/4
0.77, 0.83, 0.84, 20, 0.003897032414994038, BAT SlipP = 0.05, Floor = 1/4
2.81, 3.47, 3.48, 20, 0.003348300757312432, BAT SlipP = 0.05, Floor = 1/4
4.27, 4.31, 4.32, 20, 0.0003727399952113682, BAT SlipP = 0.05, Floor = 1/4
0.81, 0.93, 0.94, 20, 0.006602847445860813, BAT SlipP = 0.05, Floor = 1/4
0.83, 1.00, 1.07, 20, 0.07591313509789875, BAT SlipP = 0.05, Floor = 1/4
2.50, 3.33, 3.40, 20, 0.02146419183556186, BAT SlipP = 0.05, Floor = 1/4
0.48, 0.62, 0.59, 20, 0.042363258912004015, BAT SlipP = 0.05, Floor = 1/4
4.48, 5.75, 6.08, 20, 0.05811113862386024, BAT SlipP = 0.05, Floor = 1/4
0.95, 1.15, 1.15, 20, 0.0037417393137714043, BAT SlipP = 0.05, Floor = 1/4
0.64, 0.97, 0.97, 20, 0.010175609277132496, BAT SlipP = 0.05, Floor = 1/4
2.36, 4.02, 3.49, 20, 0.130884953014727, BAT SlipP = 0.05, Floor = 1/4
1.89, 2.65, 2.64, 20, 0.003405552651397267, BAT SlipP = 0.05, Floor = 1/4
6.54, 9.42, 8.69, 20, 0.0777267536066573, BAT SlipP = 0.05, Floor = 1/4
0.85, 1.19, 1.19, 20, 0.0022745715920319785, BAT SlipP = 0.05, Floor = 1/4
1.82, 2.53, 2.47, 20, 0.023225898040373075, BAT SlipP = 0.05, Floor = 1/4
3.74, 4.65, 4.56, 20, 0.020225826483697286, BAT SlipP = 0.05, Floor = 1/4
2.74, 3.53, 3.37, 20, 0.04446069343360061, BAT SlipP = 0.05, Floor = 1/4
0.61, 1.01, 0.83, 20, 0.17862236726595712, BAT SlipP = 0.05, Floor = 1/4
2.82, 3.44, 3.70, 20, 0.07439637451553464, BAT SlipP = 0.05, Floor = 1/4
